Site	year	DOY	time	T_R1	T_R0	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	352	13.0	294.3597540020553	273.30264226866194	0.0	290.052	275.94	2.49469	10.3203	998.3960000000001	316.481	92.683	293.663	1.0	3.0	1.0	1.0	1.0
1	2021	353	13.0	290.8444358373011		0.0	285.998	274.971	3.59824	10.4408	996.913	-1022.87	-1240.22	281.576	1.0	3.0	1.0	1.0	1.0
1	2021	354	13.0	287.9509273048653	276.10547956258307	0.0	285.287	276.28	1.54191	7.694589999999999	997.16	141.173	27.5994	312.443	1.0	3.0	1.0	1.0	1.0
1	2021	355	13.0	290.4778090796404		0.0	287.327	276.288	1.24297	9.26934	996.759	285.308	118.58	294.788	1.0	3.0	1.0	1.0	1.0
1	2021	356	13.0	289.8407645215549	284.19671352872547	0.0	288.322	284.067	2.43172	13.014700000000001	994.6260000000001	140.873	102.357	380.485	1.0	3.0	1.0	1.0	1.0
1	2021	357	13.0			0.0	284.284	284.434	4.47943		987.9430000000001	-193.149	-198.649	373.081	1.0	3.0	1.0	1.0	1.0
1	2021	358	13.0		283.71396393321885	0.0	285.129	283.656	3.25258		988.7819999999999	132.954	45.6283	360.184	1.0	3.0	1.0	1.0	1.0
1	2021	359	13.0	286.93424317071805	280.172675979243	0.0	284.367	280.157	3.35407	8.26614	991.538	-445.765	-535.748	341.241	1.0	3.0	1.0	1.0	1.0
1	2021	360	13.0	288.2652636840432	277.6352522319844	0.0	284.168	278.847	4.02183	6.727759999999999	995.8510000000001	461.673	240.464	269.643	1.0	3.0	1.0	1.0	1.0
1	2021	361	13.0	286.6878520688158		0.0	284.396	279.314	4.79496	11.8276	991.1969999999999	-162.717	-241.562	354.064	1.0	3.0	1.0	1.0	1.0
1	2021	362	13.0	287.87429015385027	278.1535829051652	0.0	283.555	278.268	3.75407	7.265069999999999	987.988	-748.124	-958.14	276.25	1.0	3.0	1.0	1.0	1.0
1	2021	363	13.0			0.0	281.252	280.42	4.17323		985.91	-281.848	-310.647	356.959	1.0	3.0	1.0	1.0	1.0
1	2021	364	13.0	286.04003304536997	281.25777394102136	0.0	284.228	281.268	1.57545	11.8001	986.7880000000001	90.1527	66.4592	367.49	1.0	3.0	1.0	1.0	1.0
1	2021	365	13.0	288.0674876492137	279.7567828244836	0.0	284.552	279.92	6.16995	9.330929999999999	985.836	-3256.52	-3463.87	288.139	1.0	3.0	1.0	1.0	1.0
1	2022	1	13.0	290.82798952744497	275.9441181412769	0.0	286.102	277.152	2.22938	7.941130000000001	997.23	-4973.31	-5196.32	281.836	1.0	3.0	1.0	1.0	1.0
1	2022	2	13.0	291.2823016926994	274.4748225582489	0.0	287.572	276.715	2.58875	3.85323	1000.8299999999999	-5400.04	-5636.43	276.28	1.0	3.0	1.0	1.0	1.0
1	2022	3	13.0	290.2390638339766	274.6092913492077	0.0	286.123	278.169	4.25252	9.577069999999999	1000.65	-4579.86	-4798.73	286.48	1.0	3.0	1.0	1.0	1.0
1	2022	4	13.0	291.92785562399285	282.96914685871576	0.0	288.671	282.566	4.49433	10.471400000000003	1000.3	-3327.87	-3541.69	299.259	1.0	3.0	1.0	1.0	1.0
1	2022	5	13.0	291.7958456722681	284.0106634915446	0.0	290.504	284.892	5.00878	9.49412	996.388	337.743	180.992	322.925	1.0	3.0	1.0	1.0	1.0
1	2022	6	13.0	295.208185679881	282.6653465949163	0.0	291.687	283.922	2.59091	10.6349	992.115	-655.014	-876.503	315.304	1.0	3.0	1.0	1.0	1.0
1	2022	7	13.0	286.0290342741729	283.40319835708755	0.0	284.488	282.504	3.13931	10.6043	991.278	211.144	145.635	345.286	1.0	3.0	1.0	1.0	1.0
1	2022	8	13.0	293.3977803716908	282.24530548485615	0.0	288.792	281.518	1.27144	10.270399999999999	994.937	585.563	356.238	297.079	1.0	3.0	1.0	1.0	1.0
1	2022	9	13.0	293.6062446497676	278.072790668059	0.0	290.055	278.262	2.38893	7.99553	1001.44	586.044	353.461	296.636	1.0	3.0	1.0	1.0	1.0
1	2022	10	13.0	295.37066434993017	279.14246688247584	0.0	293.336	281.691	1.64659	8.18033	1003.58	493.534	293.016	319.59	1.0	3.0	1.0	1.0	1.0
1	2022	11	13.0	296.4413436575171	275.5168110018321	0.0	294.283	279.22	3.23874	5.375639999999999	1001.99	616.448	361.883	301.838	1.0	3.0	1.0	1.0	1.0
1	2022	12	13.0	294.85656779439785	276.5264624064753	0.0	295.397	280.71	0.270641	5.88335	1000.8	328.253	179.577	336.375	1.0	3.0	1.0	1.0	1.0
1	2022	13	13.0	291.5308619248255	283.11392567156867	0.0	291.498	285.143	1.42256	7.91861	1000.0400000000001	242.363	126.443	331.851	1.0	3.0	1.0	1.0	1.0
1	2022	14	13.0	295.1673516339734	276.2897333302126	0.0	292.571	279.163	1.78295	7.127599999999999	996.9060000000001	581.442	345.272	305.526	1.0	3.0	1.0	1.0	1.0
