Site	year	DOY	time	T_R1	T_C	T_S	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	24	4.5	277.22724488736037	277.22724488736037	313.15	0.0	278.355	0.0	3.85455	6.746409999999999	991.2710000000002	-3.14715	-82.9351	255.555	1.0	3.0	1.0	1.0	1.0
1	2021	24	5.0	277.3264740473149	277.3264740473149	313.15	0.0	278.281	0.0	3.94348	6.7817300000000005	991.2919999999999	-3.50238	-83.3299	255.61	1.0	3.0	1.0	1.0	1.0
1	2021	24	6.5	275.88446771688075	275.88446771688075	313.15	0.0	277.375	0.0	1.97357	7.01573	991.59	-3.01348	-77.1154	255.313	1.0	3.0	1.0	1.0	1.0
1	2021	24	12.0	290.5691080983083	290.5691080983083	313.15	0.0	284.92	0.0	3.91944	9.00512	991.778	499.855	350.694	325.835	1.0	3.0	1.0	1.0	1.0
1	2021	24	12.5	287.5126856808521	287.5126856808521	313.15	0.0	283.917	0.0	4.13067	9.32663	991.46	246.061	165.552	338.407	1.0	3.0	1.0	1.0	1.0
1	2021	24	13.0	286.81004669564993	286.81004669564993	313.15	0.0	283.598	0.0	4.61803	9.16165	991.31	246.676	165.659	335.661	1.0	3.0	1.0	1.0	1.0
1	2021	24	14.0	284.9755716320699	284.9755716320699	313.15	0.0	282.529	0.0	4.47981	9.15272	990.9519999999999	121.282	77.8561	346.18	1.0	3.0	1.0	1.0	1.0
1	2021	24	15.0	283.89026123189944	283.89026123189944	313.15	0.0	282.005	0.0	3.115	9.57617	990.893	97.9292	63.6497	348.971	1.0	3.0	1.0	1.0	1.0
1	2021	24	15.5	284.1817465024125	284.1817465024125	313.15	0.0	282.657	0.0	3.3365	9.11921	990.7130000000001	108.059	65.4416	342.654	1.0	3.0	1.0	1.0	1.0
1	2021	24	16.0	283.80481354699975	283.80481354699975	313.15	0.0	282.628	0.0	3.43054	8.93332	990.564	76.1835	33.2547	334.77	1.0	3.0	1.0	1.0	1.0
1	2021	24	20.5	280.7943104331464	280.7943104331464	313.15	0.0	281.049	0.0	1.21667	8.999500000000001	990.093	-0.351107	-16.5007	336.897	1.0	3.0	1.0	1.0	1.0
1	2021	25	6.0	278.7409180781984	278.7409180781984	313.15	0.0	279.424	0.0	5.07547	6.637309999999999	988.203	-0.402835	-35.6504	310.757	1.0	3.0	1.0	1.0	1.0
1	2021	25	14.0	281.734644810567	281.734644810567	313.15	0.0	280.624	0.0	8.32327	6.899679999999999	987.2919999999999	289.165	180.945	287.484	1.0	3.0	1.0	1.0	1.0
1	2021	25	15.0	282.0510620085212	282.0510620085212	313.15	0.0	281.193	0.0	8.50404	6.678920000000001	987.4490000000001	281.632	163.774	280.506	1.0	3.0	1.0	1.0	1.0
1	2021	25	15.5	281.9489909577572	281.9489909577572	313.15	0.0	281.253	0.0	8.31256	6.688540000000001	987.602	248.33	134.305	281.295	1.0	3.0	1.0	1.0	1.0
1	2021	25	16.0	281.31434879026705	281.31434879026705	313.15	0.0	281.074	0.0	7.51751	6.60088	987.807	145.34	64.2229	295.384	1.0	3.0	1.0	1.0	1.0
1	2021	25	16.5	281.18325998891527	281.18325998891527	313.15	0.0	281.056	0.0	8.25212	6.612080000000001	987.924	147.506	49.0352	281.226	1.0	3.0	1.0	1.0	1.0
1	2021	25	19.0	279.2276338503723	279.2276338503723	313.15	0.0	280.272	0.0	5.72837	6.49451	988.5450000000001	-2.19316	-52.5758	294.205	1.0	3.0	1.0	1.0	1.0
1	2021	26	2.0	277.95249595183105	277.95249595183105	313.15	0.0	278.376	0.0	3.24977	7.209529999999999	990.095	-1.09223	-52.5956	288.892	1.0	3.0	1.0	1.0	1.0
1	2021	26	2.5	277.45294376497134	277.45294376497134	313.15	0.0	278.339	0.0	3.67574	6.461509999999999	990.3480000000001	-1.2172	-61.4822	276.887	1.0	3.0	1.0	1.0	1.0
1	2021	26	4.5	276.04183484406417	276.04183484406417	313.15	0.0	277.248	0.0	2.23802	6.43829	990.6060000000001	-3.63147	-79.3567	255.629	1.0	3.0	1.0	1.0	1.0
1	2021	26	7.0	273.49619211789843	273.49619211789843	313.15	0.0	273.753	0.0	2.26882	5.67152	992.387	-3.44516	-78.4918	241.996	1.0	3.0	1.0	1.0	1.0
1	2021	26	12.0	290.5567767919046	290.5567767919046	313.15	0.0	283.133	0.0	2.39183	6.518189999999999	995.0239999999999	675.302	448.013	270.922	1.0	3.0	1.0	1.0	1.0
1	2021	26	12.5	291.57879914974694	291.57879914974694	313.15	0.0	283.508	0.0	2.16688	6.37616	994.5139999999999	685.068	449.68	271.519	1.0	3.0	1.0	1.0	1.0
1	2021	26	13.5	291.7773143631918	291.7773143631918	313.15	0.0	283.707	0.0	3.07011	5.85141	994.259	649.234	415.393	271.767	1.0	3.0	1.0	1.0	1.0
1	2021	26	14.0	291.19748066236025	291.19748066236025	313.15	0.0	283.872	0.0	3.74865	6.0501499999999995	994.445	599.921	378.788	275.704	1.0	3.0	1.0	1.0	1.0
1	2021	26	15.0	291.0096469702335	291.0096469702335	313.15	0.0	283.713	0.0	2.28985	6.17531	994.3480000000001	519.62	311.478	280.28	1.0	3.0	1.0	1.0	1.0
1	2021	26	15.5	288.9061344458851	288.9061344458851	313.15	0.0	283.237	0.0	3.13126	6.87067	994.525	416.643	239.036	284.698	1.0	3.0	1.0	1.0	1.0
1	2021	26	16.0	285.46054949206706	285.46054949206706	313.15	0.0	282.401	0.0	3.63689	6.97433	994.6719999999999	248.446	113.375	282.736	1.0	3.0	1.0	1.0	1.0
1	2021	27	0.0	281.624950467938	281.624950467938	313.15	0.0	281.992	0.0	4.15733	8.4527	995.4939999999999	-1.60722	-18.7981	339.781	1.0	3.0	1.0	1.0	1.0
1	2021	28	23.0	282.62393830414965	282.62393830414965	313.15	0.0	282.429	0.0	2.60696	5.25057	987.783	-0.271456	-14.3206	348.627	1.0	3.0	1.0	1.0	1.0
1	2021	29	11.0	286.5548323363656	286.5548323363656	313.15	0.0	282.713	0.0	2.37972	9.844380000000001	991.363	295.02	220.313	340.047	1.0	3.0	1.0	1.0	1.0
1	2021	29	12.0	285.88347235016283	285.88347235016283	313.15	0.0	281.695	0.0	1.87375	9.6837	991.39	256.283	198.165	349.205	1.0	3.0	1.0	1.0	1.0
1	2021	29	12.5	287.27511625943237	287.27511625943237	313.15	0.0	282.76	0.0	1.2178	9.3113	991.085	324.082	245.565	343.87	1.0	3.0	1.0	1.0	1.0
1	2021	29	16.5	283.26346523706036	283.26346523706036	313.15	0.0	280.755	0.0	1.51769	6.833869999999999	992.8520000000001	70.6555	40.2571	343.076	1.0	3.0	1.0	1.0	1.0
1	2021	30	11.5	290.15097463278556	290.15097463278556	313.15	0.0	284.548	0.0	2.46263	9.61699	1000.9300000000001	598.385	414.186	297.036	1.0	3.0	1.0	1.0	1.0
1	2021	30	12.0	291.22202710551295	291.22202710551295	313.15	0.0	284.864	0.0	2.44203	9.62874	1000.9699999999999	640.936	446.17	300.678	1.0	3.0	1.0	1.0	1.0
1	2021	30	12.5	292.01045185191015	292.01045185191015	313.15	0.0	285.128	0.0	2.40744	9.78872	1000.74	659.086	464.602	309.291	1.0	3.0	1.0	1.0	1.0
1	2021	30	13.0	293.07911583009644	293.07911583009644	313.15	0.0	285.432	0.0	2.60376	9.74416	1000.53	686.608	493.625	322.396	1.0	3.0	1.0	1.0	1.0
1	2021	30	14.5	291.5114572669112	291.5114572669112	313.15	0.0	285.257	0.0	1.8518	9.08963	999.491	491.042	313.516	305.126	1.0	3.0	1.0	1.0	1.0
1	2021	30	15.0	292.4269348299883	292.4269348299883	313.15	0.0	285.726	0.0	1.68068	9.14626	999.133	492.625	302.715	299.506	1.0	3.0	1.0	1.0	1.0
1	2021	30	15.5	291.01594831738595	291.01594831738595	313.15	0.0	285.462	0.0	1.97745	9.63828	998.7829999999999	419.593	234.687	289.539	1.0	3.0	1.0	1.0	1.0
1	2021	31	12.5	293.05266769358934	293.05266769358934	313.15	0.0	289.02	0.0	1.67565	7.32	998.191	400.604	245.005	316.647	1.0	3.0	1.0	1.0	1.0
1	2021	31	14.0	295.5220549591231	295.5220549591231	313.15	0.0	289.815	0.0	2.15182	7.35429	997.545	512.092	336.454	329.406	1.0	3.0	1.0	1.0	1.0
1	2021	31	15.0	294.2760825189108	294.2760825189108	313.15	0.0	290.135	0.0	2.11813	6.48136	997.53	426.214	260.81	323.988	1.0	3.0	1.0	1.0	1.0
1	2021	31	16.0	290.4336212666135	290.4336212666135	313.15	0.0	289.079	0.0	1.02045	6.745549999999999	997.115	172.412	83.1548	337.696	1.0	3.0	1.0	1.0	1.0
1	2021	31	22.5	281.3782068593141	281.3782068593141	313.15	0.0	282.072	0.0	0.674771	8.86502	997.3989999999999	-0.588689	-18.2654	338.009	1.0	3.0	1.0	1.0	1.0
1	2021	32	2.5	281.5387724309114	281.5387724309114	313.15	0.0	282.126	0.0	0.605132	8.82085	995.073	-0.233004	-13.4615	343.283	1.0	3.0	1.0	1.0	1.0
1	2021	32	13.5	298.0519035580646	298.0519035580646	313.15	0.0	290.514	0.0	3.1628	8.16042	995.6960000000001	648.595	415.821	308.076	1.0	3.0	1.0	1.0	1.0
1	2021	32	14.5	296.55120916139015	296.55120916139015	313.15	0.0	288.589	0.0	1.88264	10.3583	995.53	572.21	347.481	300.268	1.0	3.0	1.0	1.0	1.0
1	2021	32	15.0	295.0579498997389	295.0579498997389	313.15	0.0	288.466	0.0	2.42675	10.252999999999998	995.3580000000001	493.826	287.04	299.448	1.0	3.0	1.0	1.0	1.0
1	2021	32	15.5	293.76241630953405	293.76241630953405	313.15	0.0	288.602	0.0	2.35702	9.82336	995.2429999999999	414.978	222.873	298.107	1.0	3.0	1.0	1.0	1.0
1	2021	32	16.0	292.44370844806417	292.44370844806417	313.15	0.0	289.094	0.0	2.40142	8.174880000000002	995.322	338.273	160.513	296.726	1.0	3.0	1.0	1.0	1.0
1	2021	32	21.5	279.4622240580528	279.4622240580528	313.15	0.0	280.996	0.0	0.751379	9.910890000000002	996.9780000000001	-3.40304	-59.7215	289.378	1.0	3.0	1.0	1.0	1.0
1	2021	33	9.5	288.77762102906087	288.77762102906087	313.15	0.0	286.19	0.0	2.26151	10.630899999999999	997.73	403.738	239.2	296.089	1.0	3.0	1.0	1.0	1.0
1	2021	33	10.0	290.62995193823565	290.62995193823565	313.15	0.0	286.876	0.0	2.33248	10.1538	997.9300000000001	490.287	307.881	298.433	1.0	3.0	1.0	1.0	1.0
1	2021	33	10.5	290.5707905822175	290.5707905822175	313.15	0.0	286.379	0.0	1.77248	10.6709	997.9769999999999	430.693	265.766	301.344	1.0	3.0	1.0	1.0	1.0
1	2021	33	12.5	298.4882978920376	298.4882978920376	313.15	0.0	290.046	0.0	3.09855	12.104300000000002	997.3610000000001	700.6	463.054	311.435	1.0	3.0	1.0	1.0	1.0
1	2021	33	14.0	296.54641261652415	296.54641261652415	313.15	0.0	289.698	0.0	4.19096	12.7499	996.588	569.197	358.817	311.355	1.0	3.0	1.0	1.0	1.0
1	2021	33	14.5	295.2778205559165	295.2778205559165	313.15	0.0	288.688	0.0	4.86293	12.6868	996.489	588.852	374.605	305.994	1.0	3.0	1.0	1.0	1.0
1	2021	33	15.0	294.31101522716585	294.31101522716585	313.15	0.0	288.412	0.0	4.32384	12.6942	996.2639999999999	515.264	311.406	302.863	1.0	3.0	1.0	1.0	1.0
